程序执行时间,染色体路径,适应度,染色体任务说明
11.767782211303711,7345672a21574021b0652064c,43.44849279999999,"[chromosome] a:7->3->4->5->6->7->2
b:2->1->5->7->4->0->2->1
c:0->6->5->2->0->6->4
"
12.087345838546753,602743a735201b1462132c,48.29404279999999,"[chromosome] a:6->0->2->7->4->3
b:7->3->5->2->0->1
c:1->4->6->2->1->3->2
"
11.012655973434448,36507a21240b7406361c,40.6474039,"[chromosome] a:3->6->5->0->7
b:2->1->2->4->0
c:7->4->0->6->3->6->1
"
11.415574073791504,64060457a257016b31021c,41.10399799999999,"[chromosome] a:6->4->0->6->0->4->5->7
b:2->5->7->0->1->6
c:3->1->0->2->1
"
12.270293951034546,7324025a256560b01706c,46.356081200000006,"[chromosome] a:7->3->2->4->0->2->5
b:2->5->6->5->6->0
c:0->1->7->0->6
"
270.0754714012146,16257657842a75179378606970b2656172713620c,1080071.9803237,"[chromosome] a:1->6->2->5->7->6->5->7->8->4->2
b:7->5->1->7->9->3->7->8->6->0->6->9->7->0
c:2->6->5->6->1->7->2->7->1->3->6->2->0
"
148.62276363372803,14756a03626b147562c,39509.616241200005,"[chromosome] a:1->4->7->5->6
b:0->3->6->2->6
c:1->4->7->5->6->2
"
299.47624468803406,71817932493a76296b715702473c,5953192.180982901,"[chromosome] a:7->1->8->1->7->9->3->2->4->9->3
b:7->6->2->9->6
c:7->1->5->7->0->2->4->7->3
"
293.9914712905884,1517939207a75693764587306b762054623c,2300304.63697175,"[chromosome] a:1->5->1->7->9->3->9->2->0->7
b:7->5->6->9->3->7->6->4->5->8->7->3->0->6
c:7->6->2->0->5->4->6->2->3
"
277.2439982891083,1725172609370a7653b261784826934272c,2670977.978744751,"[chromosome] a:1->7->2->5->1->7->2->6->0->9->3->7->0
b:7->6->5->3
c:2->6->1->7->8->4->8->2->6->9->3->4->2->7->2
"
52.52691888809204,7405a1b1c,28130.03111875,"[chromosome] a:7->4->0->5
b:1
c:1
"
624.8150193691254,16723136783a76293709312b756295132c,2314751.2672895,"[chromosome] a:1->6->7->2->3->1->3->6->7->8->3
b:7->6->2->9->3->7->0->9->3->1->2
c:7->5->6->2->9->5->1->3->2
"
676.6459288597107,7569371502a2652193b175716578691c,2316204.4652362503,"[chromosome] a:7->5->6->9->3->7->1->5->0->2
b:2->6->5->2->1->9->3
c:1->7->5->7->1->6->5->7->8->6->9->1
"
598.3892180919647,17569329470171a26176162868b756265157c,2371366.5312339496,"[chromosome] a:1->7->5->6->9->3->2->9->4->7->0->1->7->1
b:2->6->1->7->6->1->6->2->8->6->8
c:7->5->6->2->6->5->1->5->7
"
547.8508229255676,267693198538a1762796870913b759895430c,2490291.73700625,"[chromosome] a:2->6->7->6->9->3->1->9->8->5->3->8
b:1->7->6->2->7->9->6->8->7->0->9->1->3
c:7->5->9->8->9->5->4->3->0
"
523.2565505504608,26713694a176939659b753c,2140601.21279805,"[chromosome] a:2->6->7->1->3->6->9->4
b:1->7->6->9->3->9->6->5->9
c:7->5->3
"
861.3209404945374,2019710410910a5619701970b210010371010c,2171954.51347815,"[chromosome] a:2->0->1->9->7->10->4->10->9->1->0
b:5->6->1->9->7->0->1->9->7->0
c:2->10->0->10->3->7->1->0->1->0
"
143.12507438659668,2076104790a560103471061b20716c,1804155.9156093502,"[chromosome] a:2->0->7->6->10->4->7->9->0
b:5->6->0->10->3->4->7->10->6->1
c:2->0->7->1->6
"
69.66486144065857,675760a1318481b02310806c,1260501.9819848249,"[chromosome] a:6->7->5->7->6->0
b:1->3->1->8->4->8->1
c:0->2->3->1->0->8->0->6
"
65.42260813713074,235a6756b018428184808c,867354.241298525,"[chromosome] a:2->3->5
b:6->7->5->6
c:0->1->8->4->2->8->1->8->4->8->0->8
"
58.80154037475586,823106148a0280184b6752364c,1389353.2445381247,"[chromosome] a:8->2->3->1->0->6->1->4->8
b:0->2->8->0->1->8->4
c:6->7->5->2->3->6->4
"
77.47924470901489,01805a75208681841b6237c,1435798.1188032497,"[chromosome] a:0->1->8->0->5
b:7->5->2->0->8->6->8->1->8->4->1
c:6->2->3->7
"
53.26174759864807,01840484a752568b7231848016c,1056346.7052249499,"[chromosome] a:0->1->8->4->0->4->8->4
b:7->5->2->5->6->8
c:7->2->3->1->8->4->8->0->1->6
"
54.23618817329407,27512a87801848481841848141b23184654140c,1244006.3488839,"[chromosome] a:2->7->5->1->2
b:8->7->8->0->1->8->4->8->4->8->1->8->4->1->8->4->8->1->4->1
c:2->3->1->8->4->6->5->4->1->4->0
"
52.592758893966675,62318184a0261848384184864b75281848c,1507050.5700167501,"[chromosome] a:6->2->3->1->8->1->8->4
b:0->2->6->1->8->4->8->3->8->4->1->8->4->8->6->4
c:7->5->2->8->1->8->4->8
"
